<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BVAL.US,D,20250626,000000,25.415,25.52,25.415,25.5199,127542,0
BVAL.US,D,20250627,000000,25.58,25.7,25.5,25.6099,100652,0
BVAL.US,D,20250630,000000,25.67,25.755,25.63,25.73,35665,0
BVAL.US,D,20250701,000000,25.71,25.955,25.62,25.9235,36755,0
BVAL.US,D,20250702,000000,25.85,25.99,25.85,25.9826,30209,0
BVAL.US,D,20250703,000000,26.11,26.17,26.1,26.1424,11184,0
BVAL.US,D,20250707,000000,26.07,26.08,25.87,25.95,30460,0
BVAL.US,D,20250708,000000,25.96,26.01,25.9477,25.9477,7720,0
BVAL.US,D,20250709,000000,26.03,26.04,25.9234,26.03,62563,0
BVAL.US,D,20250710,000000,26,26.21,26,26.16,39417,0
BVAL.US,D,20250711,000000,26,26.07,25.98,26.01,51915,0
BVAL.US,D,20250714,000000,25.96,26.05,25.96,26.0343,19291,0
BVAL.US,D,20250715,000000,25.98,25.99,25.8046,25.8046,47563,0
BVAL.US,D,20250716,000000,25.8,25.89,25.63,25.8788,43844,0
BVAL.US,D,20250717,000000,25.9,26.05,25.88,26.0275,16766,0
BVAL.US,D,20250718,000000,26.07,26.09,25.96,25.9976,48699,0
BVAL.US,D,20250721,000000,26.115,26.15,25.99,26.01,49509,0
